Name,Type,Latitude,Longitude
신대방우성상가,대규모상점,37.492594,126.911651
대림쇼핑타운,대규모상점,37.507352,126.924601
서울노량진종합시장,대규모상점,37.515451,126.94083
(주)홈플러스 대방점,대규모상점,37.512644,126.926021
홈플러스(주) 익스프레스 상도점,대규모상점,37.499098,126.93369
홈플러스(주) 익스프레스 남성점,대규모상점,37.484545,126.972435
홈플러스 익스프레스 상도3점,대규모상점,37.497112,126.943827
(주) GS리테일 GS수퍼 사당태평점,대규모상점,37.489703,126.975935
(주)지에스리테일 상도 엠코타운점,대규모상점,37.496768,126.949135
(주)지에스리테일 GS수퍼 사당점,대규모상점,37.489758,126.975875
해가든프라자,대규모상점,37.507124,126.962486
성대종합시장,대규모상점,37.500039,126.932201
롯데쇼핑(주) 롯데슈퍼 상도3동점,대규모상점,37.503362,126.935657
롯대슈펴 신대방점,대규모상점,37.490938,126.923095
홈플러스 익스프레스 상도2점,대규모상점,37.507327,126.949515
(주)이마트 이수점,대규모상점,37.484728,126.980405
(주)이마트에브리데이 상도동점,대규모상점,37.505706,126.943627
(주)이마트에브리데이 대방동점,대규모상점,37.499885,126.929497
(주)이마트에브리데이 사당동점,대규모상점,37.489058,126.979015
롯데쇼핑(주)롯데슈퍼 사당점,대규모상점,37.477592,126.981072
Ju.chef(주셰프),모범음식점,37.485787,126.980479
가마솥손두부,모범음식점,37.477917,126.980225
거구회관,모범음식점,37.513277,126.936031
고봉삼계탕 중앙대점,모범음식점,37.507965,126.962789
고을래이베리코흑돼지(사당점),모범음식점,37.477158,126.978461
고추찜닭,모범음식점,37.486894,126.980999
고향한방삼계탕,모범음식점,37.503537,126.948992
광양불고기(준서네),모범음식점,37.496197,126.952715
구름산추어탕,모범음식점,37.477837,126.980463
구름산추어탕,모범음식점,37.501298,126.934436
궁중순대보쌈,모범음식점,37.512092,126.93494
권참치,모범음식점,37.478541,126.980531
그린테라스,모범음식점,37.511588,126.92717
김종구참치박사,모범음식점,37.478702,126.980979
남다른 감자탕 대방점,모범음식점,37.500003,126.92424
남도향,모범음식점,37.497417,126.920892
내고향나주곰탕,모범음식점,37.486011,126.969134
"내담대구탕,찜,해물갈비찜",모범음식점,37.497988,126.952747
놀부보쌈과부대찌개,모범음식점,37.484899,126.969897
놀부부대찌게,모범음식점,37.507871,126.961454
농장사람들,모범음식점,37.505044,126.944196
