충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
현대차 남부서비스센터,"서울특별시 동작구 노량진로 53 , 현대자동차 남부서비스센터 본관 후문 주차장(대방동 70-1)",0,1,N,37.51394627,126.9344456,Private
중앙대학교병원 다정관 주차장,서울특별시 동작구 흑석로 102  다정관 뒤편,0,1,Y,37.5060362,126.96042,Private
동작주차공원 공영주차장,"서울특별시 동작구 현충로 213 , 출입구 왼쪽(동작동 326)",0,1,Y,37.50389272,126.9776569,Public
현대남부서비스센터,서울특별시 동작구 대방동 70-5  ,0,1,N,37.51394627,126.9344456,Private
동작구청,서울특별시 동작구 장승배기로 161 동작구청 별관앞 부설주차장,0,1,Y,37.51252922,126.9399439,Public
숭실대학교,서울특별시 동작구 상도로 369 학생회관 지하1층 주차장,0,1,Y,37.4964296,126.9551598,Public
한국전력관악동작지사,서울특별시 동작구 동작대로 19 ,0,1,Y,37.47830829,126.9809567,Public
서울시여성가족재단,서울특별시 동작구 여의대방로 54길 18 ,0,1,Y,37.51161025,126.9272269,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",1,0,Y,37.4964296,126.9551598,Public
남부수도사업소,"서울특별시 동작구 여의대방로10길 97 (신대방동, 남부수도사업소) ",1,0,Y,37.49241456,126.9153994,Public
남부수도사업소,"서울특별시 동작구 여의대방로10길 97 (신대방동, 남부수도사업소) ",1,0,Y,37.49241456,126.9153994,Public
남부수도사업소,"서울특별시 동작구 여의대방로10길 97 (신대방동, 남부수도사업소) ",1,0,Y,37.49241456,126.9153994,Public
남부수도사업소,"서울특별시 동작구 여의대방로10길 97 (신대방동, 남부수도사업소) ",1,0,Y,37.49241456,126.9153994,Public
사당4동주민센터,"서울특별시 동작구 사당로16아길 6 (사당동, 사당4동주민센터) ",1,0,N,37.48097701,126.9716353,Public
사당5동주민센터,"서울특별시 동작구 사당로2가길 219 (사당동, 사당5동주민센터) ",1,0,N,37.48566105,126.9669796,Public
중앙대학교102관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교102관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교102관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교102관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교303관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교303관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교303관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교303관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교305관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교305관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교305관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교305관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교309관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교309관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교310관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교310관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교310관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교310관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교310관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교310관,1,0,Y,37.50472555,126.9538339,Public
중앙대학교102관,서울특별시 동작구 흑석로 84 (흑석동) 중앙대학교102관,1,0,Y,37.50472555,126.9538339,Public
