충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
이마트명일점 충전소,이마트 명일점(E구역),0,8,N,37.5546516,127.1557517,Private
암사1동 공영주차장,지하1층 좌측,0,1,Y,37.5527562,127.1379796,Public
천호3동 제1공영주차장,지하1층 26,0,2,Y,37.5390879,127.1332521,Public
천호유수지 공영주차장,입구 좌측 끝,0,1,Y,37.5447732,127.1218699,Public
명일동 공영주차장,지하3층 주차장 안쪽 전기실 앞,0,2,Y,37.5510151,127.1428921,Public
천호1동 공영주차장,지하1층 주차장 좌측 바로 앞,1,2,Y,37.5448022,127.1363138,Public
현대백화점 천호점,지하5층 주차장 입구 바로 앞,0,3,Y,37.5388007,127.1243716,Private
홈플러스 강동점,지하1층,0,1,N,37.5456582,127.1422439,Private
강동구청,주차장,0,2,Y,37.5302554,127.1237961,Public
천호역공영주차장,지하1층 A35구역,5,1,Y,37.5384618,127.1250941,Public
성내사옥,주차장,0,1,N,37.5351932,127.1332123,Private
삼성글로벌엔지니어링,지하4층 B12구역,0,1,N,37.5488618,127.1753808,Private
천호역공영주차장,주차장,3,0,Y,37.53934079,127.1233007,Public
강동구청,주차장,1,2,N,37.5302554,127.1237961,Public
암사동선사유적지,주차장,1,0,N,37.5605739,127.1308674,Public
강동수도사업소,주차장,2,0,N,37.5291289,127.1262112,Public
서울시 LGBESTSHOP(천호점),주차장,1,0,N,37.5362586,127.1293438,Private
서울시 이마트(명일점),본관B2층 E구역,1,0,N,37.5546516,127.1557517,Private
서울시 상수도사업본부 암사 아리수정수센터,주차장,1,0,N,37.5634189,127.1413985,Private
서울시 강동구 강동소방서,주차장,2,0,N,37.5293802,127.1251007,Public
성내사옥,주차장,1,0,N,37.5351932,127.1332123,Private
한국보훈복지의료공단 중앙보훈병원,주차장벽면,10,0,N,37.528778,127.1476066,Public
강동구청 고덕1동주민센타,주차장,1,0,N,37.5456582,127.1422439,Public
강동구청 길동주민센타,주차장,1,0,N,37.5391766,127.1461768,Public
강동구청 명일1동주민센타,주차장,1,0,N,37.5497246,127.1459682,Public
강동구청 성내2동주민센타,주차장,1,0,N,37.5323918,127.1295279,Public
강동구청 성내3동주민센타,주차장,1,0,N,37.5260027,127.1328729,Public
강동보건소,본관후면지상주차장,1,1,N,37.5293701,127.1255567,Public
강동구청상일동주민센터,지하1층주차장,1,0,N,37.55058375,127.1683004,Public
삼성글로벌엔지니어링,지하4층 B12구역,0,3,N,37.5488618,127.1753808,Private
복지상일충전소,서울특별시 강동구 천호대로 1452 충전소 입구 부근,0,2,,,,Private
서울장애인종합복지관,서울특별시 강동구 고덕로 201 야외주차장,2,0,,,,Public
암사충전소,서울특별시 강동구 올림픽로 791 충전소 건물 좌측 부근,0,2,,,,Private
한국국토정보공사 강동송파지사,서울특별시 강동구 풍성로 144 ,3,1,,,,Public
강동역두산위브센티움아파트입주자대표회의,서울특별시 강동구 성안로 155 ,3,0,,,,Private
동아1차아파트,"서울특별시 강동구 양재대로91길 62 (성내동, 동아1차아파트) 상가동 ",1,0,,,,Private
탑스위트 관리단,"서울특별시 강동구 양재대로111길 15 (길동, 탑스위트) 탑스위트 관리단",1,0,,,,Private
GS강동자이 아파트,서울시 강동구 천호대로 1239(길동),2,1,,,,Private
강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,2,1,,,,Private
강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,0,1,,,,Private
강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20,0,1,,,,Private
강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100,1,0,,,,Private
강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,1,1,,,,Private
강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20,3,1,,,,Private
강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25,3,1,,,,Private
경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40,2,0,,,,Private
고덕리엔파크1단지,서울특별시 강동구 상일로 152,2,0,,,,Private
고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74,6,2,,,,Private
고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,3,1,,,,Private
길동삼익파크,서울특별시 강동구 길동 명일로 293,2,1,,,,Private
대우한강베네시티 아파트,서울시 강동구 올림픽로 664,2,0,,,,Private
둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,3,1,,,,Private
명일한양아파트,서울특별시 강동구 명일동 동남로71길 19,0,1,,,,Private
삼익가든아파트,서울 강동구 명일동 260-1,2,0,,,,Private
성내1차이편한세상,서울 강동구 성내동 598,2,0,,,,Private
성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,4,1,,,,Private
신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,2,1,,,,Private
암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,1,0,,,,Private
암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,1,0,,,,Private
한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,1,0,,,,Private
한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,2,1,,,,Private
