충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
LG사이언스파크 유플러스 E11,6,0,,,,Private
NC백화점-강서,9,0,,,,Private
SH공사강서센터,2,0,,,,Public
가로공원로 지하공영주차장,0,1,,,,Public
가양1동주민센터,1,0,,,,Public
가양3동주민센터,1,0,,,,Public
가양레포츠센터,0,1,,,,Public
강서구민올림픽체육센터,0,1,,,,Public
강서구의회,1,0,,,,Public
강서구청(화곡본2공영주차장),1,0,,,,Public
강서보건소,1,0,,,,Public
강서소방서,1,0,,,,Public
강서에어뷰오피스텔,1,0,,,,Private
강서오곡셀프주유소,2,0,,,,Private
강서한강자이타워,3,1,,,,Private
개화산역 공영주차장,1,0,,,,Public
개화역 환승주차장,2,1,,,,Public
경인고속주유소,0,3,,,,Private
곰달래문화복지센터 공영주차장,0,1,,,,Public
기아 강서 서비스센터,1,1,,,,Private
넥센타이어㈜,6,0,,,,Private
등촌1동주민센터,1,0,,,,Public
등촌2동주민센터,1,0,,,,Public
롯데렌탈,1,0,,,,Private
롯데마트 김포공항점,0,1,,,,Private
롯데몰 김포공항점,0,4,,,,Private
롯데쇼핑(주) 김포공항점,2,0,,,,Private
마곡동 방화1동주민센터,1,0,,,,Public
마곡레포츠센터 ,0,1,,,,Public
마곡시티관리공단,1,0,,,,Private
메이필드호텔,0,1,,,,Private
볏골공원 지하공영주차장,,1,,,,Public
볏골공원공영주차장,1,0,,,,Public
서울시 강서구청,1,0,,,,Public
서울시 강서구청 가양동별관,1,0,,,,Public
서울시 이마트(가양점),2,0,,,,Private
신방화역 환승주차장,3,1,,,,Public
이대서울병원,10,0,,,,Public
한국가스공사 강서,1,0,,,,Public
한국공항공사 서울,0,4,,,,Public
한국전기공사협회,0,1,,,,Public
한국지엠강서서비스,1,0,,,,Private
홈플러스 가양점,0,1,,,,Private
홈플러스 강서점,,1,,,,Private
화곡2동주민센터,1,0,,,,Public
화곡3동주민센터,1,0,,,,Public
화곡6-1 공영주차장,1,1,,,,Public
화곡6동주민센터,1,0,,,,Public
화곡8-2 공영주차장,1,0,,,,Public
서울강서 등명산업개발(B2),8,0,,,,Private
에스디생명공학,2,0,,,,Private
영풍택시(강서),0,2,,,,Private
강서동일스위트1차아파트,2,0,,,,Private
퀸즈파크나인,4,0,,,,Private
e편한세상염창,5,0,,,,Private
마곡13단지 힐스테이트마스터,2,1,,,,Private
마곡수명산파크1단지,2,1,,,,Private
마곡수명산파크3단지,1,1,,,,Private
마곡수명산파크5단지,2,1,,,,Private
마곡수명산파크6단지,1,1,,,,Private
마곡수명산파크7단지,3,1,,,,Private
마곡수명산파크8단지,1,0,,,,Private
마곡엠밸리11단지아파트,2,0,,,,Private
마곡엠밸리2단지,3,0,,,,Private
마곡엠밸리3단지,2,1,,,,Private
마곡엠밸리6단지,4,1,,,,Private
마곡엠밸리8단지,0,1,,,,Private
마곡힐스테이트,3,1,,,,Private
방화5단지 아파트,3,1,,,,Private
방화동부센트레빌,0,1,,,,Private
방화동성아파트,3,1,,,,Private
염창힐스테이트 아파트,1,0,,,,Private
한사랑2차삼성 아파트,2,1,,,,Private
화곡초록 아파트,0,1,,,,Private
