충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
제일모직아울렛 건너편(공중전화부스),서울특별시 금천구 가산동 60-32,0,1,N,37.47454,126.8881273,Public
홈플러스 시흥점,서울특별시 금천구 시흥동 992-47,0,1,Y,37.4519767,126.900758,Private
독산1동 공영주차장,서울특별시 금천구 독산동 1006-94,0,1,Y,37.4648929,126.894747,Public
롯데VIC마켓금천점,서울특별시 금천구 독산동 295-10,0,2,Y,37.470487,126.8956692,Private
가산동 공영주차장,서울특별시 금천구 가산동 148-28,0,1,Y,37.476695,126.895518,Public
시티렉스,서울특별시 금천구 독산동 291-5,0,1,Y,37.4693273,126.897052,Private
기아 시흥 서비스센터,서울특별시 금천구 시흥동 992-28,1,1,N,37.4517561,126.89937,Private
대륭테크노타운2차,서울특별시 금천구 가산동 569-21,33,1,Y,37.468407,126.8846233,Private
금천구청,서울특별시 금천구 시흥동 1020,2,1,Y,37.4567667,126.8954005,Public
시흥4동 공영주차장,서울특별시 금천구 독산동 1006-102,0,1,Y,37.4596867,126.909022,Public
홈플러스 금천점,서울특별시 금천구 독산동 291-7,0,2,Y,37.4686493,126.8968106,Private
동일테크노타운2차,서울특별시 금천구 독산동 330-6,0,2,Y,37.4691723,126.8933764,Private
마리오아울렛3관,서울특별시 금천구 가산동 60-20,0,2,Y,37.4785992,126.8851547,Private
LG가산디지털센터,서울특별시 금천구 가산디지털1로 189 (가산동) 지하1층 주차장,4,0,,,,Private
메이퀸 웨딩홀,서울특별시 금천구 시흥대로 435(독산동) ,0,2,,,,Private
서울시 금천구청 보건소,서울특별시 금천구 시흥대로73길 70  지하1층주차장,1,0,,,,Public
서울시 노보텔(독산),서울특별시 금천구 시흥대로 378  실외주차장,1,0,,,,Private
일신주유소,서울특별시 금천구 시흥대로 118 주유소 입구 부근,0,2,,,,Private
IT 미래타워,서울특별시 금천구 디지털로 9길 33 지하 2층 01구역(가산동 60-21 지하 2층 01구역),2,0,,,,Private
IT프리미어타워,서울특별시 금천구 가산디지털1로 88 지하2층 3대,3,0,,,,Private
SJ테크노빌,"서울특별시 금천구 벛꽃로 278,102호(가산동,에스제이테크노빌 지하) 지하 3층 B3 K01-3(가산동 60-19 지하 3층 B3 K01-3)",8,0,,,,Private
SK트윈테크타워,서울특별시 금천구 가산디지털1로 119 지하 1층 B1 BF2(가산동 345-9 지하 1층 B1 BF2),4,0,,,,Private
가산더블유센터,서울특별시 금천구 가산디지털1로 181 ,9,0,,,,Private
가산비즈니스센터,서울특별시 금천구 가산디지털1로 165 지하 1층 B1 04-05(가산동 371-6 지하 1층 B1 04-05),1,0,,,,Private
대성디폴리스지식산업센터,서울특별시 금천구 서부샛길 606 A동 지하4층 062기둥앞,3,0,,,,Private
더루벤스밸리,서울특별시 금천구 가산디지털1로 1 지하 2층 팬룸실 앞 기둥(가산동 691-3 지하 2층 팬룸실 앞 기둥),2,0,,,,Private
백상스타타워2차,서울특별시 금천구 가산디지털1로 165 지하 2층 전기실앞(가산동 371-6 지하 2층 전기실앞),1,0,,,,Private
벽산디지털밸리6차,서울특별시 금천구 가산디지털1로 219 지하 3층 B3 26-28(가산동 481-4 지하 3층 B3 26-28),4,0,,,,Private
삼부르네상스플러스,"서울특별시 금천구 시흥대로152길 11-43 (독산동, 삼부르네상스플러스) ",2,0,,,,Private
스타밸리,서울특별시 금천구 디지털로 9길 99 지하 1층 128 기둥옆(가산동 60-11 지하 1층 128 기둥옆),3,0,,,,Private
시흥유통단지11동,"서울특별시 금천구 시흥대로 97 (시흥동, 시흥유통상가) 11동앞 C주차장",10,0,,,,Private
에이스하이엔드 10차,서울특별시 금천구 가산디지털1로 30 지하 3층 B3 B-21(가산동 660 지하 3층 B3 B-21),13,0,,,,Private
이앤씨 드림타워 7차,서울특별시 금천구 디지털로 9길 33 지하 2층 B2 35-36사이(가산동 60-44 지하 2층 B2 35-36사이),1,0,,,,Private
한라시그마밸리,서울특별시 금천구 가산디지털2로 53 지하 2층 B03(가산동 345-90 지하 2층 B03),5,0,,,,Private
한신IT Tower 2차,서울특별시 금천구 디지털로 9길 47 지하1층(금천구 가산동 60-18),2,0,,,,Private
현대지식산업센터,서울특별시 금천구 두산로 70 지하 3층 BF3 017(독산동 291-1 지하 3층 BF3 017),12,0,,,,Private
남서울힐스테이트아파트,서울특별시 금천구 시흥동 시흥대로 165,2,2,,,,Private
