충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
그랜드앰배서더 서울,0,1,N,37.560133,127.00231,Private
국립극장,0,2,,,,Public
우리은행본점,0,2,,,,Private
서울시 동대문디자인프라자(DDP),2,4,,,,Private
서울시 다산동 주민센터,2,0,,,,Public
롯데피트인 동대문점,1,1,,,,Private
남산스퀘어,3,0,,,,Public
남산케이블카,0,1,,,,Public
동대문 공영주차장,2,1,,,,Public
동대문디자인플라자,0,2,,,,Private
롯데호텔 서울,1,2,,,,Private
서울도시시설기반본부,2,0,,,,Public
서울시 소방재난본부,1,0,,,,Public
서울시 약수동 주민센터,1,0,,,,Public
서울시 중구 광희동주민센터 ,1,0,,,,Public
서울시 중구 동화동주민센터 ,1,0,,,,Public
서울시 중구 서울종합방재센터,1,0,,,,Public
서울시 중구 신당5동주민센터 ,1,0,,,,Public
서울시 중구 신당동주민센터,1,0,,,,Public
서울시 중구 신한은행 본점,5,0,,,,Public
서울시 중구 을지로동주민센터,1,0,,,,Public
서울시 중구 중림동주민센터,1,0,,,,Public
서울시 중구 필동주민센터,1,0,,,,Public
서울시 중구 회현동주민센터,1,0,,,,Public
서울시 중구서울스퀘어,4,0,,,,Public
서울시 중부소방서,1,0,,,,Public
서울시 청구동 주민센터,1,0,,,,Public
서울시 황학동 주민센터,1,0,,,,Public
서울시청,2,0,,,,Public
서울시청 서소문청사,2,0,,,,Public
서울신문사,0,1,,,,Private
서울전력관리처,2,1,,,,Public
서울직할,2,5,,,,Public
예금보험공사,1,0,,,,Public
일원자동차,1,0,,,,Private
중부수도사업소,4,0,,,,Public
초동주유소,0,4,,,,Private
한국관광공사 옆 노상 공영주차장,0,4,,,,Public
남산타운아파트,6,2,,,,Private
바비엥2,1,0,,,,Private
삼성사이버빌리지,2,0,,,,Private
LIG서울역리가아파트,2,0,,,,Private
남산롯데캐슬아이리스 아파트,0,1,,,,Private
남산센트럴자이,2,0,,,,Private
덕수궁 롯데캐슬,2,0,,,,Private
롯데캐슬베니치아,2,2,,,,Private
신세계 본점,0,2,,,,Private
쌍용남산플래티넘 아파트,1,1,,,,Private
