충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
홍은1동주민센터 전기차충전소,1,0,N,37.599694,126.9496939,Public
홍은2동주민센터 전기차충전소,1,0,N,37.5800601,126.9319514,Public
홍제견인차량보관소 주차장 전기차충전소,1,2,N,37.5907812,126.9388115,Public
홍제2동주민센터 전기차충전소,1,0,N,37.5860597,126.947172,Public
홍제3동주민센터 전기차충전소,1,0,N,37.5937254,126.9475606,Public
북가좌1동주민센터 전기차충전소,1,0,N,37.5742842,126.9079675,Public
북가좌2동주민센터 전기차충전소,1,0,N,37.5814484,126.9089814,Public
남가좌1동주민센터 전기차충전소,1,0,N,37.5732691,126.9174743,Public
남가좌2동주민센터,1,0,N,37.5758313,126.9195745,Public
천연동주민센터 전기차충전소,1,0,N,37.5710895,126.9568659,Public
신촌동주민센터 전기차중전소,1,0,N,37.4705963,126.9518995,Public
충현동주민센터 전기차중전소,1,0,N,37.5647846,126.9525054,Public
홍은1동 제4공영주차장 전기차충전소,0,1,Y,37.6012903,126.949151,Public
서대문구청 광장 전기차충전소,1,1,Y,37.5790419,126.9367548,Public
그랜드힐튼호텔,0,1,N,37.5887815,126.9340003,Private
현대백화점 신촌점(본관),4,0,,,,Private
이화여자대학교,7,0,,,,Public
연세대학교,11,0,,,,Public
서울시 상수도사업본부,3,0,,,,Public
서울시 우리상운(주) 택시조합,0,3,,,,Private
서울시 서대문소방서,2,0,,,,Public
신일해피트리아파트,1,0,,,,Private
홍제태영으뜸아파트,1,0,,,,Private
홍제현대아파트상가,1,0,,,,Private
DMC래미안e편한세상,4,1,,,,Private
DMC센트럴아이파크아파트,6,0,,,,Private
DMC아이파크 아파트,0,1,,,,Private
남가좌삼성 아파트,1,1,,,,Private
돈의문센트레빌 아파트,1,1,,,,Private
무악청구2차 아파트,1,0,,,,Private
연희대우 아파트,3,0,,,,Private
연희동성원아파트,0,1,,,,Private
인왕산한신휴플러스,2,0,,,,Private
