충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
신구초교 공영노외주차장,압구정로18길 28,1,0,Y,37.5233594,127.0240264,Public
탄천2호 공영노외주차장,열원동 4-49,1,1,Y,37.4939889,127.078626,Public
역삼1동문화센터 공영노외주차장,역삼로7길 22,1,0,Y,37.4955234,127.0328832,Public
도곡로21길 7 공영노외주차장,도곡로21길 7,1,0,Y,37.4925499,127.0388536,Public
치매지원센터 공영노외주차장,선릉로108길 27,1,0,Y,37.5102707,127.0463836,Public
포이초교 공영노외주차장,개포로22길 87,1,0,Y,37.475672,127.0520896,Public
도곡초교 공영노외주차장,선릉로64길 38,1,0,Y,37.4984662,127.0553888,Public
대치2문화센터 공영노외주차장,영동대로65길 30,1,0,Y,37.5020217,127.0637699,Public
언주초교 공영노외주차장,남부순환로363길 19,1,0,Y,37.4862832,127.0367809,Public
논현초교 공영노외주차장,강남대로120길 33,1,0,Y,37.508169,127.0260317,Public
개포동공원 공영노외주차장,개포로 509,1,1,Y,37.4896688,127.068281,Public
대왕초교 공영노외주차장,세곡동 122-11,1,0,Y,37.4646674,127.097687,Public
강남구청 부설주차장,삼성동16-1,0,1,Y,37.5175282,127.0474699,Public
헌릉로745길 공영노상주차장,율현동 101-13번지 단지내,0,1,Y,37.4702733,127.1164395,Public
압구정로29길 공영노상주차장,압구정동445번지 주변,0,1,Y,37.5306702,127.0249715,Public
논현로22길 공영노외주차장,개포동 1266,0,1,Y,37.4732075,127.0474347,Public
대청역 공영노외주차장,개포동13-2,0,1,Y,37.4949109,127.0770997,Public
LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,4,1,,,,Public
LH서울지사,서울특별시 강남구 선릉로 121길 12,0,1,,,,Public
가람아파트,서울특별시 강남구 일원동 일원로 127,0,1,,,,Private
강남구청 공영주차장,서울 강남구 삼성동 16-1,0,1,,,,Public
강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63,1,1,,,,Private
강남데시앙포레,서울특별시 강남구 수서동 광평로34길55,3,1,,,,Private
강남세브란스 병원,서울특별시 강남구 언주로 211,0,2,,,,Public
강남아이파크,서울특별시 강남구 자곡동 자곡로 175,1,1,,,,Private
강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20,2,0,,,,Private
강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50,2,1,,,,Private
강남한양수자인,서울특별시 강남구 자곡동 자곡로 260,4,1,,,,Private
개나리래미안 아파트,서울특별시 강남구 역삼동 역삼로 306,2,1,,,,Private
개나리푸르지오,서울 강남구 역삼동 755-1,3,0,,,,Private
개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15,1,1,,,,Private
금호어울림 아파트(삼성동),서울특별시 강남구 삼성동 봉은사로111길 25,1,0,,,,Private
대치2문화센터 공영주차장,서울 강남구 대치동 980-9,0,1,,,,Public
대치현대 아파트,서울특별시 강남구 대치동 삼성로64길 5,1,1,,,,Private
도곡대림아크로빌,서울특별시 강남구 도곡동 언주로30길 13,0,1,,,,Private
도곡렉슬 아파트,서울특별시 강남구 도곡동 선릉로 221,2,2,,,,Private
도성 아파트,서울특별시 강남구 삼성로67길 14,2,0,,,,Private
라테라스삼성,서울특별시 강남구 삼성동 봉은사로 645,1,0,,,,Private
래미안강남힐즈,서울특별시 강남구 자곡동 자곡로 101,2,1,,,,Private
래미안그레이튼,서울특별시 강남구 역삼동 도곡로43길 20,1,1,,,,Private
래미안대치팰리스,서울특별시 강남구 대치동 삼성로51길 37,0,2,,,,Private
래미안대치하이스턴 아파트,서울특별시 강남구 대치동 도곡로93길 12,1,1,,,,Private
래미안삼성1차,서울 강남구 삼성동 103-22,2,0,,,,Private
삼성동 에스케이뷰 아파트,서울특별시 강남구 삼성동 봉은사로109길 14-8,1,0,,,,Private
삼성동한일아파트,서울 강남구 삼성동 48,1,0,,,,Private
삼성동현대아파트,서울특별시 강남구 삼성동 학동로64길 14,1,0,,,,Private
삼성동힐스테이트2단지,서울특별시 강남구 삼성로 111길 8,3,1,,,,Private
삼성우정에쉐르아파트,서울 강남구 삼성동 3-8,2,0,,,,Private
삼성중앙하이츠빌리지,서울특별시 강남구 삼성동 학동로68길 30,1,0,,,,Private
삼성파크 아파트,서울특별시 강남구 삼성동 삼성로99길 14,2,0,,,,Private
샘터마을 아파트,서울특별시 강남구 일원동 일원로 120,0,1,,,,Private
세곡리엔파크1단지,서울 강남구 세곡동 508,3,0,,,,Private
세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10,0,1,,,,Private
세곡리엔파크3단지,서울특별시 강남구 세곡동 헌릉로590길 11,1,1,,,,Private
세곡푸르지오아파트,서울 강남구 세곡동 533,1,1,,,,Private
아이파크삼성동,서울특별시 강남구 삼성동 영동대로 640,0,1,,,,Private
아크로힐스논현,서울 강남구 논현동 276-1,2,1,,,,Private
압구정하이츠파크,서울특별시 강남구 신사동 압구정로42길 78,2,0,,,,Private
역삼2차아이파크아파트,서울특별시 강남구 역삼동 도곡로57길 12,3,0,,,,Private
역삼e-편한세상,서울 강남구 역삼동 755-4,3,1,,,,Private
역삼래미안,서울 강남구 역삼동 757,4,1,,,,Private
우정에쉐르 3차,서울 강남구 대치동 950,1,0,,,,Private
청담래미안로이뷰,서울특별시 강남구 청담동 영동대로142길 16,1,0,,,,Private
청담자이 아파트,서울특별시 강남구 청담동 영동대로138길 12,3,1,,,,Private
청담파크파라곤,서울특별시 강남구 청담동 학동로97길 31,1,0,,,,Private
타워팰리스 2차,서울특별시 강남구 도곡동 언주로30길 57,1,1,,,,Private
타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56,4,1,,,,Private
타워팰리스G동,서울특별시 강남구 도곡동 언주로30길 26,2,1,,,,Private
헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13,0,1,,,,Public
현대까르띠에710아파트,서울 강남구 역삼동 710,2,0,,,,Private
