충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
롯데마트(삼양점),주차장 3층(북쪽),0,2,N,37.62551718,127.0177185,Private
삼양동주민센터,강북구 삼양로 268,1,,N,37.6273084,127.0183501,Public
미아동주민센터,강북구 솔매로49길 14,1,,N,37.62709036,127.026935,Public
송중동주민센터,강북구 오패산로 162,1,,N,37.61612179,127.0337701,Public
송천동주민센터,강북구 솔샘로 284,1,,N,37.6182561,127.0238374,Public
삼각산동주민센터,강북구 삼양로19길 34,1,,N,37.61514813,127.0207409,Public
번1동주민센터,강북구 덕릉로41길 74,1,0,N,37.6378543,127.0288406,Public
번2동주민센터,강북구 한천로 897,1,,N,37.63188022,127.0390621,Public
번3동주민센터,강북구 한천로105길 21,1,,N,37.62586611,127.0465898,Public
수유1동주민센터,강북구 삼양로 299,1,,N,37.6300042,127.017532,Public
수유2동주민센터,강북구 한천로 1117,1,,N,37.6446412,127.0198757,Public
수유3동주민센터,강북구 노해로 36,1,,N,37.63871389,127.0231273,Public
우이동주민센터,강북구 삼양로139길 49,1,,N,37.6479299,127.0118707,Public
인수동주민센터,강북구 인수봉로 255,1,,N,37.6414749,127.0105828,Public
가오리 공영주차장,강북구 삼양로107길 30,,1,Y,37.64160556,127.0149509,Public
냉천길 공영주차장,강북구 삼양로 230-12,,1,Y,37.62400684,127.0195365,Public
미아동 공영주차장,강북구 도봉로61길 46,,1,Y,37.6285199,127.0223312,Public
번동햇살 공영주차장,강북구 오현로21길 84,0,1,Y,37.62400684,127.0195365,Public
수유마을시장 공영주차장,강북구 도봉로69길 29,,1,Y,37.64160556,127.0149509,Public
강북성북지사,서울특별시 강북구 도봉로 242 ,2,3,,,,Public
북부수도사업소,"서울특별시 강북구 한천로 935 (번동, 북부수도사업소) ",4,0,,,,Public
서울시 강북구 강북소방서,서울특별시 강북구 한천로 911 주차장,1,0,,,,Public
서울시 강북구청,서울특별시 강북구 도봉로89길 13 주차장,1,0,,,,Public
서울시 세종문화회관 (꿈의숲아트센터),서울특별시 강북구 월계로 173  지하1층 주차장,2,0,,,,Private
SK북한산시티,"서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트) ",6,0,,,,Private
삼각산아이원아파트입주자대표위원회,"서울특별시 강북구 삼양로19길 113 (미아동, 삼각산아이원아파트) 101동~122동 106동 지하 1층 4번 기둥",2,0,,,,Private
수유삼성래미안아파트,"서울특별시 강북구 한천로159길 8 (수유동, 래미안수유아파트) ",2,0,,,,Private
