충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
롯데마트 구로점,서울특별시 구로구 구로동 636-89,0,2,N,37.4982869,126.872754,Private
구로구청,서울특별시 구로구 구로동 435번지,9,1,N,37.49582991,126.8879073,Public
천왕역,서울특별시 구로구 오류동 174-10,0,1,Y,37.487258,126.839174,Public
구로리공원,서울특별시 구로구 구로4동 142-62,0,1,N,37.49158776,126.891558,Public
고척근린공원,서울특별시 구로구 고척동 164-12,0,1,N,37.50658242,126.8532783,Public
구로4동 공영주차장,서울특별시 구로구 구로동 741-27,0,1,N,37.489868,126.8865593,Public
홈프러스 신도림점,서울특별시 구로구 경인로 661,0,1,N,37.50904858,126.8869872,Private
고척스카이돔,서울특별시 구로구 경인로 430,0,3,N,37.49821221,126.8670867,Public
신도림테크노마트,서울특별시 구로구 새말로 97,3,2,Y,37.5070442,126.8902294,Private
개봉1동 주민센터 옆 공영주차장,서울특별시 구로구 개봉동 134-8 ,0,1,,,,Public
고양동 제1 공영주차장,서울특별시 구로구 가마산로25길 33(구로동) ,0,1,,,,Public
구로구의회,서울특별시 구로구 가마산로25길 9-24 구로구의회 지하2층(구로동 101 구로구의회 지하2층),1,0,,,,Public
구로보건소,서울특별시 구로구 구로중앙로 28길 66 지하3층 주차장(구로동 109-4 지하3층 주차장),1,0,,,,Public
구로아트밸리 공영주차장,서울특별시 구로구 가마산로25길 33(구로동) ,0,1,,,,Public
구로에스티엑스더블유타워,서울특별시 구로구 경인로 53길 90 지하 4층 D04-05(구로동 615-3 지하 4층 D04-05),3,0,,,,Private
대명벨리온 지식산업센터,서울특별시 구로구 경인로 53가길10(구로동) 지하 4층 ,5,0,,,,Private
상보기업,서울특별시 구로구 신도림로 11길 9-64 (신도림동 396-223),2,0,,,,Private
서울시 가리봉동 자치회관,서울특별시 구로구 남부순환로105길 198  주차장,1,0,,,,Public
서울시 개봉3동 주민센터,서울특별시 구로구 개봉로3길 47-5  주차장,1,0,,,,Public
서울시 구로1동 주민센터,서울특별시 구로구 구일로4길 57  주차장,1,0,,,,Public
서울시 구로구 구로소방서 ,서울특별시 구로구 경인로 408 주차장,1,0,,,,Public
서울시 수궁동 주민센터,서울특별시 구로구 오리로15길 32  주차장,1,0,,,,Public
서울시 오류1동 주민센터,서울특별시 구로구 경인로27길 6 주차장,1,0,,,,Public
서울시 이마트(구로점),서울특별시 구로구 디지털로32길 43  본관5층 B구역,2,0,,,,Private
하늘공원주차장,서울특별시 구로구 벚꽃로 370  ,0,1,,,,Private
파킹클라우드 주식회사,서울특별시 구로구 구일로8길 140 주식회사 삼우,2,0,,,,Private
태평양물산,서울특별시 구로구 디지털로 31길 12 지하 4층 BF4 22-23(구로동 197-21 지하 4층 BF4 22-23),3,0,,,,Private
현대오일뱅크 직영구로셀프주유소,서울특별시 구로구 시흥대로 531 현대오일뱅크 직영구로셀프주유소,0,2,,,,Private
흥왕택시(구로),서울특별시 구로구 경서로 71 (고척동),0,2,,,,Private
개봉동 현대아파트,"서울특별시 구로구 개봉로20길 6 (개봉동, 현대아파트1단지) ",4,0,,,,Private
개봉푸르지오아파트,"서울특별시 구로구 남부순환로 775 (개봉동, 개봉푸르지오) ",5,1,,,,Private
