충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
노원에코센터 충전소,1,1,N,37.643872,127.058538,Private
롯데마트 중계점,0,1,,,,Private
홈플러스 중계점,0,1,,,,Private
상계2동 공영주차장,0,1,,,,Public
당고개아래 공영주차장,1,1,,,,Public
서울시 LGBESTSHOP(노원본점),1,0,,,,Private
서울시 이마트(월계점),1,0,,,,Private
서울시 상계10동 주민센터,1,0,,,,Public
서울시 상계5동 주민센터,1,0,,,,Public
서울시 상계8동 주민센터,1,0,,,,Public
서울시 월계1동 주민센터,1,0,,,,Public
서울시 월계헬스케어센터,1,0,,,,Private
서울시 중계4동 주민센터,1,0,,,,Public
실증용 Mock-up 주택 홍보관,0,2,,,,Private
서울시립과학관,3,0,,,,Public
서울시 상계9동 주민센터,1,0,,,,Public
노원구청,4,1,,,,Public
인재개발원,3,1,,,,Public
서울시 이마트(월계점),3,2,,,,Private
서울시 노원구 노원소방서,2,0,,,,Public
광운대학교,5,1,,,,Public
시민생활사박물관,4,0,,,,Public
순복음노원교회,1,0,,,,Private
삼육대학교,0,2,,,,Public
서울과학기술대학교,0,3,,,,Public
SH공사노원센터,2,0,,,,Public
진양상운 주식회사,0,1,,,,Private
진원종합관리주식회사,2,0,,,,Private
노원도봉지사,4,0,,,,Public
초안아파트,2,0,,,,Private
상계대림아파트,2,0,,,,Private
상계2차중앙하이츠아파트,3,0,,,,Private
중계현대2차아파트,2,0,,,,Private
공릉2단지라이프 아파트,0,1,,,,Private
공릉8단지청솔아파트,2,0,,,,Private
공릉대동 아파트,1,0,,,,Private
공릉대동2차,2,0,,,,Private
공릉대아2차 아파트,2,0,,,,Private
공릉동부 아파트,2,0,,,,Private
공릉동현대성우 아파트,2,0,,,,Private
공릉비선아파트,2,1,,,,Private
공릉풍림아파트,2,1,,,,Private
노원우성아파트,2,0,,,,Private
노원프레미어스엠코,2,0,,,,Private
대주파크빌 아파트,2,0,,,,Private
동신 아파트,1,1,,,,Private
동진신안 아파트,1,1,,,,Private
롯데우성 아파트,2,1,,,,Private
미주동방벽운 아파트,2,0,,,,Private
상계동아불암아파트,2,1,,,,Private
상계동양 아파트,2,1,,,,Private
상계신동아 아파트,2,1,,,,Private
상계주공15단지,0,2,,,,Private
상계주공16단지아파트,1,1,,,,Private
수락리버시티3단지,1,1,,,,Private
월계동세양청마루 아파트,2,0,,,,Private
월계우남 아파트,2,0,,,,Private
월계청백1단지 아파트,2,1,,,,Private
중계건영3차아파트,1,1,,,,Private
중계경남롯데상아 아파트,0,2,,,,Private
중계삼성 아파트,2,1,,,,Private
중계센트럴파크,0,1,,,,Private
중계우성3차아파트,2,0,,,,Private
중계주공4단지 아파트,3,1,,,,Private
학여울청구 아파트,4,1,,,,Private
현대그린 아파트,2,0,,,,Private
화랑타운,2,1,,,,Private
