충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
동대문구청,1,1,,,,Public
배봉공영주차장,0,2,,,,Public
보광타워,1,0,,,,Private
서울 시립대학교,1,0,,,,Public
서울시 답십리1동 주민센터,1,0,,,,Public
서울시 동대문구청,1,0,,,,Public
서울시 동대문소방서,1,0,,,,Public
서울시 이마트(이문점),1,1,,,,Private
서울시 회기동 주민센터,1,0,,,,Public
서울시 휘경2동 주민센터,1,0,,,,Public
서울약령시 공영주차장,0,2,,,,Public
청량리롯데백화점,0,1,,,,Private
청량리주유소,0,2,,,,Private
한솔동의보감,2,0,,,,Private
회기동 공영주차장,0,2,,,,Public
휘경1동주민센터,1,0,,,,Public
이문e편한세상아파트4주차장,8,0,,,,Private
이문동대성유니드아파트,1,0,,,,Private
답십리래미안위브1블럭,2,1,,,,Private
답십리래미안위브2블럭,2,1,,,,Private
동일스위트리버,0,1,,,,Private
래미안엘파인 아파트,2,1,,,,Private
브라운스톤휘경,0,1,,,,Private
이문쌍용아파트,2,1,,,,Private
장안힐스테이트 아파트,2,1,,,,Private
전농sk 아파트,0,2,,,,Private
청솔우성,1,1,,,,Private
휘경베스트빌현대,1,1,,,,Private
휘경주공1단지,4,1,,,,Private
힐스테이트청계,0,1,,,,Private
