충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
마장동사무소 앞(공중전화부스),0,1,N,37.5672028,127.04546,Private
헤이그라운드,1,0,N,37.54447353,127.047743,Private
서울새활용플라자,3,2,N,37.5585626,127.0582435,Public
동부수도사업소,4,0,N,37.5592506,127.03542,Public
광진성동지사,7,1,N,37.5677096,127.0340572,Public
도선동공영주차장,1,0,N,37.5654593,127.031472,Public
금호초등학교,1,0,N,37.5522036,127.0203276,Public
서울시 이마트(성수점),2,0,N,37.5400204,127.052909,Private
서울시 성동소방서,4,0,N,37.55371724,127.0394558,Public
서울시 성동구 보건소,1,0,N,37.56707915,127.0332148,Public
서울시 왕십리2동 주민센터,1,0,N,37.5610305,127.030523,Public
서울시 성수2가1동 주민센터,1,0,N,37.5395041,127.054002,Public
서울시 송정동 주민센터,1,0,N,37.5544739,127.069527,Public
서울시 성수1가2동 주민센터,1,0,N,37.547732,127.0500167,Public
서울시 시설관리공단,2,0,N,37.5715745,127.036079,Public
서울시 금호1가동 주민센터,1,0,Y,37.5548468,127.02169,Public
서울시 금호4가동 주민센터,1,0,Y,37.5471374,127.022353,Public
서울시 응봉동 주민센터,1,0,Y,37.5530997,127.033314,Public
서울숲 포휴,2,0,Y,37.542939,127.044742,Private
린하우스,0,1,Y,37.5510808,127.049308,Private
성동구청,0,1,Y,37.56342359,127.036922,Public
기아 성동 서비스센터,1,1,Y,37.54494507,127.064203,Private
신금호파크자이,4,2,N,37.5562227,127.019747,Private
이마트 성수,0,18,Y,37.539928,127.0534927,Private
(주)비트플러스,5,0,Y,37.56144094,127.038396,Private
성수2가 공영주차장,0,4,,,,Public
한양대학교,0,2,,,,Public
용답동 공영주차장,0,2,,,,Public
군자동주유소,0,2,,,,Private
마장축산물시장 서문 공영주차장,0,2,,,,Public
송정동 공영주차장,0,1,,,,Public
금호동래미안하이리버,5,0,,,,Private
마장동중앙하이츠아파트,1,0,,,,Private
서울숲IT캐슬,2,0,,,,Private
서울숲아이파크,2,1,,,,Private
서울숲코오롱2차디지털타워,1,0,,,,Private
성동구 대명루첸아파트,1,0,,,,Private
성수동 대림로즈빌아파트,2,0,,,,Private
성수동금강아미움,1,0,,,,Private
성수동동아그린아파트,3,0,,,,Private
성수동아이파크,5,0,,,,Private
성수우방2차아파트,2,0,,,,Private
신금호파크자이,4,1,,,,Private
어울림더리버,2,0,,,,Private
에이스하이앤드타워,1,0,,,,Private
옥수극동그린아파트,3,0,,,,Private
왕십리KCC스위첸,2,0,,,,Private
청계대주파크빌,1,0,,,,Private
행당동신동아아파트,2,0,,,,Private
헤이그라운드,1,0,,,,Private
e편한세상 금호파크힐스,3,1,,,,Private
금호자이1차,2,1,,,,Private
리버그린동아 아파트,2,1,,,,Private
서울숲푸르지오 아파트,0,1,,,,Private
성수2차대우 아파트,2,0,,,,Private
센트라스 1획지,3,1,,,,Private
센트라스 2획지,4,1,,,,Private
센트라스 3획지,1,1,,,,Private
센트라스 6획지,2,1,,,,Private
행당한진타운,2,2,,,,Private
