충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
구파발역환승주차장,0,3,Y,37.638763,126.918944,Public
이마트은평점,2,6,Y,37.600306,126.920113,Private
은평구민체육센터,0,1,Y,37.630675,126.923306,Public
현대자동차수색대리점,0,1,N,37.586603,126.888038,Private
한국전력서대문은평지사,3,1,N,37.605369,126.933683,Public
서울특별시은평병원,0,1,Y,37.598365,126.93735,Public
은평평화공원공영주차장,0,2,Y,37.605678,126.923044,Public
응암3동공영주차장,0,1,Y,37.593425,126.91535,Public
롯데슈퍼 은평점,0,1,Y,37.63432394,126.9304658,Private
서울시 은평소방서,2,0,N,37.62857969,126.9197276,Public
서울시 연광초등학교 지하 공동주차장,1,0,Y,37.62618983,126.9288477,Public
서울시 연신중학교 지하 공동주차장,1,0,Y,37.62301523,126.9248421,Public
현대자동차 블루핸즈 녹번서부점,1,0,Y,37.60556918,126.9338149,Private
은평구청,0,7,N,37.60217556,126.9293379,Public
서북병원,0,1,N,37.60461972,126.9053566,Public
서울소방학교,1,0,Y,37.63421646,126.914463,Public
마카롱택시(구파발),0,12,,,,Private
북한산국립공원주차장,0,1,,,,Public
서부주유소,0,2,,,,Private
서울시 수색동 주민센터,1,0,,,,Public
서울시 신사2동 주민센터,1,0,,,,Public
서울시 증산동 주민센터,1,0,,,,Public
오복상사,2,0,,,,Private
오토월드,1,0,,,,Private
아이파크포레스트게이트,4,0,Y,37.6328793,126.9183146,Private
불광동대호아파트,1,0,,,,Private
은평뉴타운 박석고개12단지,2,0,,,,Private
응암로자선메르시안아파트,1,0,,,,Private
증산동우방아파트,4,0,,,,Private
진관동어드벤스힐오피스텔,1,0,,,,Private
꿈에그린,2,0,,,,Private
은평뉴타운우물골6단지,2,1,,,,Private
