충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
종묘공영주차장,0,1,Y,37.571208,126.995485,Public
광화문열린마당주차장,3,1,N,37.575125,126.978335,Public
세종로공영주차장,0,1,Y,37.573363,126.975841,Public
석탄회관 지하주차장,0,1,Y,37.57296,126.980329,Private
국립현대미술관 서울관 주차장,0,2,Y,37.579519,126.980379,Public
서울시 서울디자인센터,1,0,Y,37.572465,127.008872,Public
성균관대학교 인문사회과학캠퍼스,5,0,Y,37.587247,126.993089,Public
서울시청 차량지원실,7,0,Y,37.570666,126.966382,Public
한국예술종합학교(종로),0,1,Y,37.582287,126.996984,Public
태화빌딩,0,1,Y,37.571971,126.984827,Private
종로구청,1,0,Y,37.572855,126.979127,Public
종로구보건소,1,0,Y,37.581806,126.969227,Public
대학로서울대학교병원,2,0,,,,Public
부암동 주민센터,0,1,,,,Public
서울시 종로소방서,2,0,,,,Public
서울역사박물관,0,2,,,,Public
종로구_가회동주민센터,1,0,,,,Public
종로구_교남동주민센터,1,0,,,,Public
종로구_무악동주민센터,1,0,,,,Public
종로구_사직동주민센터,1,0,,,,Public
종로구_숭인1동주민센터,1,0,,,,Public
종로구_숭인2동주민센터,1,0,,,,Public
종로구_창신1동주민센터,1,0,,,,Public
종로구_창신3동주민센터,1,0,,,,Public
춘원당한방박물관,1,0,,,,Private
헌법재판소,1,0,,,,Public
더케이트윈타워,1,0,,,,Private
변산힐링밸리민박,2,0,,,,Private
SK서린빌딩,0,2,,,,Private
경희궁3단지아파트306동,7,0,,,,Private
내수동경희궁파크팰리스,3,0,,,,Private
경희궁의아침3단지 아파트,2,0,,,,Private
광화문스페이스본 아파트,3,1,,,,Private
동성빌라,1,0,,,,Private
롯데캐슬천지인,2,0,,,,Private
명륜아남1차 아파트,2,1,,,,Private
무악현대 아파트,3,1,,,,Private
인왕산2차아이파크,2,0,,,,Private
종로센트레빌,0,1,,,,Private
창신두산 아파트,2,1,,,,Private
창신쌍용2단지 아파트,1,1,,,,Private
창신이수 아파트,2,0,,,,Private
효성주얼리시티,2,0,,,,Private
