,연도,동네,휘발유,경유,엘피지,전기,하이브리드,CNG,수소,기타연료
0,2009,노량진동,4564,2473,1226,0,5,10,0,1
1,2009,대방동,5928,2680,1518,0,11,5,0,3
2,2009,동작동,697,373,150,0,1,0,0,0
3,2009,본동,1863,883,434,0,2,0,0,2
4,2009,사당동,15357,6585,3603,0,18,4,0,8
5,2009,상도1동,1062,575,280,0,1,0,0,1
6,2009,상도동,14495,6898,3880,0,15,14,0,4
7,2009,신대방동,7246,4064,1541,0,15,9,0,8
8,2009,흑석동,4160,1899,988,0,3,10,0,1
9,2010,노량진동,4763,2491,1244,0,16,11,0,3
10,2010,대방동,6066,2778,1534,0,23,6,0,4
11,2010,동작동,716,348,157,0,1,0,0,0
12,2010,본동,1823,873,402,0,4,0,0,1
13,2010,사당동,15381,6575,3513,0,27,8,0,14
14,2010,상도1동,1088,546,281,0,1,0,0,1
15,2010,상도동,14826,7103,3799,0,36,17,0,4
16,2010,신대방동,7326,4116,1539,0,17,11,0,10
17,2010,흑석동,4110,1948,999,0,6,12,0,1
18,2011,노량진동,4711,2423,1076,0,14,11,0,2
19,2011,대방동,6011,2880,1406,0,80,12,0,6
20,2011,동작동,731,352,141,0,3,1,0,1
21,2011,본동,1970,896,396,0,7,0,0,1
22,2011,사당동,15352,6758,3328,0,66,14,0,12
23,2011,상도1동,1123,574,242,0,5,0,0,1
24,2011,상도동,14820,7221,3650,0,62,22,0,3
25,2011,신대방동,7397,4039,1516,3,30,2,0,8
26,2011,흑석동,4375,2021,993,0,20,13,0,1
27,2012,노량진동,4649,2408,1023,0,26,11,0,2
28,2012,대방동,5963,2918,1324,0,112,19,0,6
29,2012,동작동,721,375,134,0,7,1,0,2
30,2012,본동,2104,973,371,0,17,1,0,1
31,2012,사당동,15354,7021,3179,0,125,16,0,11
32,2012,상도1동,1053,557,231,0,12,0,0,1
33,2012,상도동,15528,7689,3547,1,122,22,0,5
34,2012,신대방동,7303,4198,1423,3,56,1,0,8
35,2012,흑석동,4822,2204,966,0,43,17,0,3
36,2013,노량진동,4493,2528,961,0,43,12,0,2
37,2013,대방동,5849,3074,1273,0,126,17,0,5
38,2013,동작동,1112,524,145,0,17,1,0,3
39,2013,본동,2086,981,343,0,27,0,0,3
40,2013,사당동,15141,7311,3022,0,176,19,0,13
41,2013,상도1동,1037,554,240,0,15,0,0,1
42,2013,상도동,16157,8293,3388,1,158,22,0,9
43,2013,신대방동,7231,4398,1381,4,79,2,0,8
44,2013,흑석동,5316,2551,965,0,63,20,0,2
45,2014,노량진동,4374,2620,882,0,49,12,0,3
46,2014,대방동,5839,3163,1161,0,127,18,0,8
47,2014,동작동,1146,536,141,0,18,0,0,3
48,2014,본동,2073,1032,331,0,39,0,0,4
49,2014,사당동,14811,7612,2790,1,243,26,0,15
50,2014,상도1동,1060,621,211,0,16,0,0,2
51,2014,상도동,16190,8926,3191,1,215,22,0,14
52,2014,신대방동,7094,4660,1230,3,117,2,0,8
53,2014,흑석동,5214,2676,888,1,72,22,0,3
54,2015,노량진동,4306,2768,835,0,74,12,0,4
55,2015,대방동,5872,3397,1104,1,141,18,0,9
56,2015,동작동,1121,570,134,0,28,0,0,1
57,2015,본동,2070,1110,327,0,52,0,0,3
58,2015,사당동,14487,8099,2482,8,285,27,0,18
59,2015,상도1동,1082,679,207,0,27,0,0,3
60,2015,상도동,15985,9618,2994,4,263,23,0,17
61,2015,신대방동,7099,4963,1143,7,132,3,0,11
62,2015,흑석동,4813,2747,768,2,87,23,0,4
63,2016,노량진동,4208,2852,809,2,89,11,0,9
64,2016,대방동,5973,3603,1041,1,185,17,0,11
65,2016,동작동,1063,566,115,0,39,0,0,1
66,2016,본동,2029,1160,288,0,84,0,0,4
67,2016,사당동,14373,8576,2289,11,390,26,0,17
68,2016,상도1동,1045,683,181,1,31,0,0,3
69,2016,상도동,16650,10360,2845,5,409,22,0,21
70,2016,신대방동,7119,5264,1081,6,190,2,0,11
71,2016,흑석동,4752,2803,689,2,132,21,0,6
72,2017,노량진동,4201,2922,731,18,125,8,0,8
73,2017,대방동,6020,3667,996,3,238,17,0,11
74,2017,동작동,1014,540,87,0,59,0,0,1
75,2017,본동,1955,1215,259,0,105,1,0,4
76,2017,사당동,14342,8664,2201,22,530,20,0,22
77,2017,상도1동,1055,676,174,1,41,0,0,1
78,2017,상도동,16846,10713,2726,13,592,21,0,23
79,2017,신대방동,7114,5369,1048,13,241,1,0,11
80,2017,흑석동,4579,2754,624,3,170,16,0,6
81,2018,노량진동,4203,2974,700,25,158,7,0,9
82,2018,대방동,6027,3634,869,12,286,18,0,14
83,2018,동작동,998,527,76,4,77,0,0,3
84,2018,본동,1990,1141,244,5,126,2,0,5
85,2018,사당동,14703,8923,2076,39,666,18,0,26
86,2018,상도1동,969,673,166,3,44,0,0,1
87,2018,상도동,16817,10760,2582,41,786,19,1,29
88,2018,신대방동,7114,5377,968,20,301,1,0,14
89,2018,흑석동,4622,2744,556,8,253,14,0,8
