충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
홈플러스 면목점,0,1,N,37.58118765,127.0803807,Private
홈플러스 상봉점,0,1,Y,37.5983233,127.091431,Private
홈플러스 신내점,0,1,Y,37.6157539,127.0937534,Private
용마폭포공원 공영주차장,0,1,Y,37.5733026,127.0891138,Public
서울의료원,0,1,N,37.613036,127.0984134,Public
동대문중랑지사,6,1,N,37.6074439,127.0792372,Public
면목3동 공영주차장,0,1,N,37.5810218,127.0935553,Public
롯데하이마트 상봉점,0,1,N,37.5992526,127.0965028,Private
화랑대역 환승공영주차장,1,1,N,37.6188035,127.0869244,Public
중화문화복지센터(중화2동),1,0,N,37.595,127.0747885,Public
중화1동주민센터,1,0,N,37.6011323,127.0806479,Public
상봉2동주민센터,1,0,N,37.5923863,127.0832478,Public
묵2동주민센터,1,0,N,37.6095801,127.0759897,Public
면목7동주민센터,1,0,N,37.5789724,127.0869514,Public
망우본동주민센터,1,0,N,37.60056074,127.1014872,Public
면목2동주민센터,1,0,N,37.5896952,127.0789996,Public
면목4동주민센터,1,0,N,37.5746612,127.0855957,Public
면목5동주민센터,1,0,N,37.5857452,127.0794819,Public
상봉1동주민센터,1,0,N,37.5998105,127.0871498,Public
중랑구보건소,1,0,N,37.6063046,127.0931523,Public
이마트 상봉점,1,4,N,37.596438,127.0935903,Private
서울시 중랑소방서,1,0,N,37.6153417,127.0948707,Public
망우제2호 거주자주차장,0,1,N,37.6028484,127.1020211,Private
면목한신아파트,5,0,N,37.58648131,127.0758033,Private
망우금호어울림아파트,1,0,N,37.6022258,127.1091554,Private
용마산금호어울림아파트,2,0,Y,37.5774856,127.0913769,Private
신내6단지아파트,2,0,Y,37.61410212,127.0910356,Private
태능에셈빌아파트,1,0,Y,37.5991759,127.0774943,Private
SH공사동대문센터,1,0,Y,37.60539088,127.0916637,Public
EV충전소 SK중랑교셀프주유소 (ev Most),0,1,Y,37.5947009,127.0779097,Public
소망주유소,0,2,,,,Private
중랑구_망우3동주민센터,1,0,,,,Public
중랑구_면목본동주민센터,1,0,,,,Public
중랑구_묵1동주민센터,1,0,,,,Public
중랑구_묵2동주민센터,1,0,,,,Public
중랑구_신내1동주민센터,1,0,,,,Public
중랑구_신내2동주민센터,1,0,,,,Public
서울시설공단_차고지,1,0,,,,Public
다우훼밀리아파트,2,0,,,,Private
상봉프레미어스엠코,10,0,,,,Private
"면목두산2,3차 아파트",2,1,,,,Private
"면목두산4,5단지 아파트",2,1,,,,Private
면목두원 아파트,2,0,,,,Private
묵동자이1단지 아파트,2,1,,,,Private
묵동자이2단지 아파트,2,1,,,,Private
브라운스톤태릉 아파트,0,1,,,,Private
상봉우정 아파트,1,1,,,,Private
신내7단지진로아파트,1,1,,,,Private
신내LG쌍용아파트,1,1,,,,Private
신내우디안1단지,2,1,,,,Private
중랑숲리가 아파트,2,1,,,,Private
중랑해모로 아파트,2,0,,,,Private
한일써너스빌 아파트,1,1,,,,Private
