충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
남서울농협 하나로마트 우면점,0,1,Y,37.4568755,127.0159862,Private
사당역 공영주차장,0,1,Y,37.4754002,126.9837428,Public
서울 부띠크모나코 급속,0,3,Y,37.4973032,127.0245062,Private
서울만남휴게소(부산방향),0,2,Y,37.4599063,127.0420601,Private
서울시 내곡동 주민센터,1,0,Y,37.4619252,127.0511758,Public
서울시 서울어린이병원,2,0,Y,37.4554808,127.0688387,Private
서울시 서초구 반포1동주민센터,1,0,Y,37.5050553,127.013394,Public
서울시 서초구 반포2동주민센터,1,0,Y,37.5045471,126.994486,Public
서울시 서초구 반포3동주민센터,1,0,Y,37.512229,127.005571,Public
서울시 서초구 반포4동주민센터,1,0,Y,37.4974379,127.0003038,Public
서울시 서초구 방배1동주민센터,1,0,Y,37.4832812,126.9945303,Public
서울시 서초구 방배3동주민센터,1,0,Y,37.4784015,126.9999842,Public
서울시 서초구 방배4동주민센터,1,0,Y,37.488988,126.9922476,Public
서울시 서초구 방배본동주민센터,1,0,Y,37.494111,126.988833,Public
서울시 서초구 서초1동주민센터,1,0,Y,37.4901512,127.0194515,Public
서울시 서초구 서초2동주민센터,1,0,Y,37.492049,127.0249363,Public
서울시 서초구 잠원동주민센터,1,0,Y,37.514976,127.013942,Public
서울시 서초소방서,2,0,Y,37.4985816,126.9919593,Public
서울시 양재1동 주민센터,1,0,Y,37.4716428,127.0266483,Public
서울시 양재2동 주민센터,1,0,Y,37.470588,127.0412109,Public
서울시 이마트(양재점),3,0,Y,37.46246789,127.0369482,Private
서울시 제이프러스 빌딩,1,0,Y,37.4796459,127.039626,Private
서울시립어린이병원,0,1,Y,37.4554808,127.0688387,Public
서울시인재개발원,0,1,Y,37.48119434,127.0234353,Public
서울오토갤러리,3,0,Y,37.4617954,127.0353646,Private
서울추모공원,0,1,Y,37.4522334,127.0427909,Public
서초구청,4,1,Y,37.4835872,127.0326987,Public
서초지사,7,2,Y,37.4856225,127.0280556,Public
예술의 전당,0,1,Y,37.4790189,127.041438,Private
이마트 양재점,0,1,Y,37.46246789,127.036935,Private
하나로마트 양재점,2,1,Y,37.4629917,127.0434134,Private
한국타이어 서초점,0,1,Y,37.487461,127.0261367,Private
현대강남자동차써비스㈜,0,1,Y,37.474797,127.041474,Private
신세계 강남점,0,2,,,,Private
현우모터스,1,0,,,,Private
삼방주유소,0,2,,,,Private
국립 중앙도서관,0,2,,,,Public
서울백석예술대학교,2,0,,,,Public
서울시 방배2동 주민센터,1,0,,,,Public
서울시교원연수원,3,0,,,,Public
G5센트럴프라자,2,0,,,,Private
MV아파트,1,0,,,,Private
롯데캐슬스파,2,0,,,,Private
서울시 제이프러스 빌딩,1,0,,,,Private
서초신동아럭스빌,1,0,,,,Private
서초참누리에코리치,3,1,,,,Private
서초트라팰리스,5,0,,,,Private
LH서초4단지 아파트,2,0,,,,Private
LH서초5단지,2,1,,,,Private
래미안서초7차 아파트,2,0,,,,Private
래미안서초스위트 아파트,2,1,,,,Private
롯데캐슬헤론,2,1,,,,Private
리첸시아방배,2,0,,,,Private
반포리체 아파트,4,1,,,,Private
반포미도아파트,0,1,,,,Private
방배1차 e편한세상,2,0,,,,Private
방배3차e편한세상,2,0,,,,Private
방배동부센트레빌 아파트,2,0,,,,Private
방배롯데캐슬아르떼,6,0,,,,Private
방배롯데캐슬포레스트,2,0,,,,Private
방배아이파크 아파트,2,0,,,,Private
삼창골든빌리지 입주자대표회의,2,0,,,,Private
서초2차e편한세상아파트,3,0,,,,Private
서초경남아너스빌201동,1,0,,,,Private
서초네이처힐1단지,2,0,,,,Private
서초네이처힐6단지,2,1,,,,Private
서초네이처힐7단지,2,0,,,,Private
서초더샵포레,4,1,,,,Private
서초동일하이빌,1,0,,,,Private
서초롯데캐슬84,2,0,,,,Private
서초롯데캐슬프레지던트,2,0,,,,Private
서초리젠 아파트,2,0,,,,Private
서초아크빌,2,0,,,,Private
서초포레스타5단지,3,1,,,,Private
서초힐스 아파트,3,1,,,,Private
아크로리버파크,1,0,,,,Private
양재리본타워2단지아파트,4,0,,,,Private
월드메르디앙 아파트,0,1,,,,Private
현대ESA아파트,1,0,,,,Private
현대멤피스(A),2,0,,,,Private
현대멤피스(B),2,0,,,,Private
