충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
가든파이브주유소,0,2,,,,Private
가락2동 주민센터,0,1,,,,Public
가락시장,0,3,,,,Public
거여2동 주민센터,0,1,,,,Public
거여동공영주차장,0,1,,,,Public
딜라이트 호텔,0,1,,,,Private
롯데마트 송파점,0,1,,,,Private
롯데마트 잠실점,1,2,,,,Private
롯데쇼핑㈜,5,0,,,,Private
마천동1공영주차장,0,1,,,,Public
마천동2공영주차장,0,1,,,,Public
문정근린공원 공영주차장,0,1,,,,Public
방이동 공영주차장,0,1,,,,Public
복정역 공영주차장,0,1,,,,Public
빠른병원,2,0,,,,Public
삼전동 공영주차장,0,1,,,,Public
서울동부지방검찰청,2,0,,,,Public
서울시 농수산식품공사 가락몰 관리업무동,6,0,,,,Public
서울시 농수산식품공사 친환경농산물 집배송센터,1,0,,,,Public
서울시 대명레저산업 본사,2,0,,,,Private
서울시 마천2동주민센터,1,0,,,,Public
서울시 송파구 가락본동주민센터,1,0,,,,Public
서울시 송파구 롯데타워지하3층,67,0,,,,Private
서울시 송파구 마천1동주민센터 ,1,0,,,,Public
서울시 송파구 문정1동주민센터,1,0,,,,Public
서울시 송파구 문정2동주민센터,1,0,,,,Public
서울시 송파구 방이1동주민센터,1,0,,,,Public
서울시 송파구 방이2동주민센터,1,0,,,,Public
서울시 송파구 송파2동주민센터,1,0,,,,Public
서울시 송파구 오금동주민센터,1,0,,,,Public
서울시 송파구 오륜동주민센터,1,0,,,,Public
서울시 송파구 위례동주민센터,1,0,,,,Public
서울시 송파구 잠실2동주민센터,1,0,,,,Public
서울시 송파구 잠실본동주민센터,1,0,,,,Public
서울시 송파소방서,1,0,,,,Public
서울시 잠실실내체육관,1,0,,,,Private
서울시 장지동주민센터 ,1,0,,,,Public
서울시 풍납1동주민센터,1,0,,,,Public
송파공영주차장,0,1,,,,Public
송파구청,0,1,,,,Public
송파농업협동조합(교보리얼코),2,0,,,,Public
수협중앙회,1,0,,,,Private
스마트위례주유소,0,2,,,,Private
신천유수지 공영주차장,2,1,,,,Public
쌍용프라자,4,0,,,,Private
아시아공원 공영주차장,0,3,,,,Public
아이티벤처타워관리단,3,0,,,,Private
잠실역 공영주차장,3,1,,,,Public
잠실푸르지오월드마크,1,0,,,,Private
천마공영주차장,0,1,,,,Public
풍납2동 주민센터,0,1,,,,Public
한국광고문화회관,0,1,,,,Public
현대타워빌딩,3,0,,,,Private
송파호반베르디움더퍼스트 입주자대표회의,7,0,,,,Private
문정역테라타워,2,0,,,,Private
가락쌍용1차 아파트,4,2,,,,Private
가락우성2차 아파트,1,0,,,,Private
갤러리아팰리스,3,1,,,,Private
거여1단지 아파트,4,1,,,,Private
거여2동 주민센터,0,1,,,,Private
거여4단지 아파트,3,1,,,,Private
거여5단지 아파트,3,1,,,,Private
더샵스타리버 아파트,0,1,,,,Private
레이크팰리스,6,2,,,,Private
리센츠 아파트,6,2,,,,Private
문정래미안아파트,3,1,,,,Private
방이동숙소,2,0,,,,Private
송파꿈에그린(위례24단지),5,2,,,,Private
송파삼성래미안,3,1,,,,Private
송파성원상떼빌,2,1,,,,Private
송파와이즈더샵,2,0,,,,Private
송파파인타운10단지,2,1,,,,Private
송파파인타운1단지아파트,2,0,,,,Private
송파파인타운5단지,2,1,,,,Private
송파파인타운6단지 아파트,3,1,,,,Private
송파파인타운7단지,3,1,,,,Private
송파파인타운9단지,2,1,,,,Private
송파파크데일1단지 아파트,2,1,,,,Private
송파파크데일2단지,2,1,,,,Private
송파한라비발디,3,1,,,,Private
송파현대힐스테이트,1,0,,,,Private
쌍용스윗닷홈 거여1차 아파트,2,0,,,,Private
위례 포레샤인 23단지,6,2,,,,Private
위례송파푸르지오 아파트,0,1,,,,Private
위례스타힐스,3,1,,,,Private
잠실롯데캐슬골드 아파트,2,1,,,,Private
잠실파크인수,1,0,,,,Private
잠실한양3차 아파트,1,0,,,,Private
풍납쌍용,2,1,,,,Private
한강극동아파트,1,1,,,,Private
호수임광아파트,2,0,,,,Private
