충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
홈플러스 목동점,0,1,Y,37.530241,126.8732314,Private
이마트 목동점,2,0,Y,37.5257763,126.8703272,Private
이마트 신월점,1,0,Y,37.539746,126.8285127,Private
한국전력 강서양천지사,7,1,N,37.5196727,126.8688231,Public
목동공영주차장,2,1,Y,37.52784517,126.8778043,Public
가로공원 공영주차장,4,4,Y,37.53672515,126.8308301,Public
해맞이공영주차장,0,1,Y,37.51993,126.832662,Public
양천구청 지하주차장,2,0,Y,37.5169164,126.8664734,Public
양천구청 지상주차장,0,1,Y,37.5169164,126.8664734,Public
목2동주민센터,0,1,N,37.5461022,126.871647,Public
서울에너지공사,1,4,N,37.5401156,126.883709,Public
신월5동주민센터,1,1,N,37.5385259,126.8271645,Public
신정3동 현장민원실,0,2,N,37.5113026,126.8414511,Public
신월2동주민센터,1,0,,,,Public
신월4동주민센터,1,0,,,,Public
신월6동주민센터,1,0,,,,Public
신정1동주민센터,1,1,,,,Public
신정2동주민센터,1,0,,,,Public
신정6동주민센터,1,0,,,,Public
목1동주민센터,1,0,,,,Public
목5동주민센터,1,0,,,,Public
서울시 도로환경처,2,0,,,,Public
서울시 양천소방서,1,0,,,,Public
서울양천 지구촌교회드림홀,1,0,,,,Private
서울양천 지구촌교회사랑채플,1,0,,,,Private
EV충전소 SK신월남부주유소 (ev Most),0,1,,,,Private
SH공사양천센터,2,0,,,,Public
강서수도사업소,2,0,,,,Public
부영그린타운1차,1,0,,,,Private
서울 목동현대파크빌,2,0,,,,Private
수명산롯데캐슬아파트,1,0,,,,Private
신정6차현대아파트,2,0,,,,Private
푸른마을1단지아파트,3,0,,,,Private
목4동현대 아파트,2,0,,,,Private
목동 현대하이페리온2아파트,3,1,,,,Private
목동2차우성아파트,0,1,,,,Private
목동삼성쉐르빌1,1,1,,,,Private
목동트윈빌,2,1,,,,Private
목동힐스테이트아파트,1,1,,,,Private
부영그린타운2차,2,0,,,,Private
신월코아루1단지아파트,3,0,,,,Private
신월해주 아파트,2,0,,,,Private
신정뉴타운두산위브아파트,0,1,,,,Private
신정동일하이빌아파트,1,0,,,,Private
신정숲속마을아파트,0,1,,,,Private
신정이펜하우스 2단지,3,0,,,,Private
양천벽산블루밍 아파트,2,1,,,,Private
우당 아파트,2,0,,,,Private
푸른마을2단지,1,1,,,,Private
