충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic,,,
홈플러스 영등포점,0,1,N,37.5181712,126.8959156,Private,,,
당산에스에이치빌 아파트 앞,0,1,N,37.52419721,126.901497,Private,,,
신길제5동 주민센터,0,1,N,37.5015982,126.9051893,Public,,,
영등포 제3공영 주차장,0,1,Y,37.5163937,126.9055469,Public,,,
신길4동1마을공원 공영주차장,0,1,Y,37.5070802,126.9117293,Public,,,
영등포구청 환승공영주차장,0,1,Y,37.5247471,126.8954091,Public,,,
대신시장 공중전화,0,1,Y,37.5112289,126.9175497,Public,,,
당산노외 공영주차장,1,1,Y,37.52365797,126.9001612,Public,,,
남서울직할,16,3,Y,37.5274781,126.9302904,Public,,,
영등포전력지사,2,1,Y,37.5171292,126.9102262,Public,,,
남서울직할(영등포)지사,0,2,Y,37.5203178,126.8928104,Public,,,
영남공영주차장,0,1,Y,37.51946997,126.902586,Public,,,  
국회도서관,0,3,Y,37.5310813,126.9165501,Public,,,
국회의원회관,0,3,Y,37.5310813,126.9165501,Public,,,
롯데 빅마켓,0,6,Y,37.5277844,126.9046832,Private,,,
양평1동주민센터,1,0,,,,Public,,,
양평2동주민센터,1,0,,,,Public,,,
양평주유소_100kW,0,2,,,,Private,,,
엘지애클라트,1,0,,,,Private,,,
여의도 신영증권,0,2,,,,Private,,,
여의도국민일보빌딩,6,0,,,,Private,,,
여의도주유소,0,2,,,,Private,,,
여의동주민센터,1,0,,,,Public,,,
영등포구청별관,1,0,,,,Public,,,
영등포구청역 공영주차장,0,1,,,,Public,,,
영등포전력지사,0,1,,,,Public,,,
한국수출입은행,2,0,,,,Private,,,
한국전기안전공사 서울서부지사,3,0,,,,Public,,,
EV충전소 SK여의도주유소 (ev Most),0,1,,,,Private,,,
EV충전소 SK영등포행복주유소 (ev Most),0,1,,,,Private,,,
KDB산업은행 본점,2,0,,,,Private,,,
국회의사당,3,0,,,,Public,,,
나이스그룹 1사옥,0,1,,,,Private,,,
당산1동주민센터,1,0,,,,Public,,,
당산2동복합청사,1,0,,,,Public,,,
당산근린공원 공영주차장,4,0,,,,Public,,,
대림어린이공원 공영주차장,0,1,,,,Public,,,
대림운동장 공영주차장,0,1,,,,Public,,,
롯데마트 서울양평점,0,2,,,,Private,,,
신길3동주민센터,1,0,,,,Public,,,
신길7동주민센터,1,0,,,,Public,,,
성애병원,0,1,,,,Public,,,
서울현대교육재단,2,0,,,,Private,,,
서울시 영등포구 영등포소방서,2,0,,,,Public,,,
서울시 영등포구 여의도파크센터,2,0,,,,Private,,,
문래동주민센터,1,0,,,,Public,,,
당산동삼성타운,1,0,,,,Private,,,
당산브라운스톤,1,0,,,,Private,,,
대림동2차한신아파트,2,0,,,,Private,,,
대우미래사랑2차,1,0,,,,Private,,,
리마크빌영등포,2,0,,,,Private,,,
문래동현대3차아파트,1,0,,,,Private,,,
문래벽산메가트리움,2,0,,,,Private,,,
문래파라곤(101동),5,0,,,,Private,,,
서린빌딩(샬레코리아),2,0,,,,Private,,,
신길우성4차아파트,2,0,,,,Private,,,
신길한성아파트,4,0,,,,Private,,,
신풍두산위브,1,0,,,,Private,,,
아이에스비즈타워1차,4,0,,,,Private,,,
당산대우 아파트,2,1,,,,Private,,,
대림동현대3차 아파트,4,1,,,,Private,,,
롯데캐슬엠파이어,2,1,,,,Private,,,
문래건영아파트,3,0,,,,Private,,,
문래금호어울림 아파트,1,0,,,,Private,,,
문래자이아파트,2,1,,,,Private,,,
보라매벚꽃마을아파트,1,0,,,,Private,,,
신길경남 아파트,2,1,,,,Private,,,
신길뉴타운한화꿈에그린,2,0,,,,Private,,,
신길삼성래미안,2,1,,,,Private,,,
양평한신아파트,1,1,,,,Private,,,
영등포레미안 아파트,3,1,,,,Private,,,
영등포아트자이 아파트,3,1,,,,Private,,,
