충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
남부초 공영주차장,서울특별시 관악구 남부순환로163길 14,0,1,Y,37.4850413,126.922112,Public
조원동 공영주차장,서울특별시 관악구 조원중앙로2길 19,0,1,Y,37.481022,126.905682,Public
서울대정문 옆 구거부지 급속충전소,서울특별시 관악구 신림동 799-3,0,2,N,37.466421,126.948761,Private
보라매제1공영주차장,서울특별시 관악구 봉천로21길 38,0,1,Y,37.488548,126.934524,Public
신림동제1공영주차장,서울특별시 관악구 관천로 98,0,1,Y,37.487336,126.923392,Public
난곡동제1공영주차장,서울특별시 관악구 난곡로34길 71,0,1,Y,37.4721711,126.923124,Public
원신공영주차장,서울특별시 관악구 양지길 63,0,1,Y,37.47010388,126.9292658,Public
서울 한유에너지 급속,"서울특별시 관악구 남부순환로 1883, 한유빌딩 사옥뒤 2층 주차장",0,1,,,,Private
서울시 LGBESTSHOP(신림점),서울특별시 관악구 남부순환로 1445  주차장,1,0,,,,Private
서울시 관악구 관악소방서,서울특별시 관악구 관악로 97 주차장,1,0,,,,Public
서울시 관악구 보건소,서울특별시 관악구 관악로 145  주차장,1,0,,,,Public
서울시 낙성대동 주민센터,서울특별시 관악구 낙성대로4가길 5  지하주차장,1,0,,,,Public
서울시 남현동 주민센터,서울특별시 관악구 남현1가길 29  지하주차장,1,0,,,,Public
서울시 대학동 주민센터,서울특별시 관악구 신림로 111  주차장,1,0,,,,Public
서울시 미성동 주민센터,서울특별시 관악구 난곡로 249  주차장,1,0,,,,Public
서울시 삼성동 주민센터,서울특별시 관악구 호암로 589 주차장,1,0,,,,Public
서울시 조원동 주민센터,서울특별시 관악구 조원로12길 25  주차장,1,0,,,,Public
서울시 중앙동 주민센터,서울특별시 관악구 양녕로6다길 7 지상1층 주차장,1,0,,,,Public
서울시 청룡동 주민센터,서울특별시 관악구 쑥고개로 44 주차장,1,0,,,,Public
서울시 청림동 주민센터,서울특별시 관악구 관악로40길 39  주차장,1,0,,,,Public
난향동 주민센터,서울특별시 관악구 난곡로 67 ,0,1,,,,Public
관악동작 견인차량 보관소,서울특별시 관악구 신사로 7 ,0,1,,,,Public
관악남현한일유엔아이아파트,"서울특별시 관악구 남부순환로256라길 25 (남현동, 남현동한일유엔아이아파트) 101동~102동 ",1,0,,,,Private
관악위버폴리스,서울특별시 관악구 관악로 195 지하5층 발전기실옆 주차장,3,0,,,,Private
서울 캐릭터그린빌관리단,"서울특별시 관악구 보라매로5가길 7 지하3층 EPS옆, 지하4층 EPS옆",4,0,,,,Private
관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5,1,1,,,,Private
관악벽산블루밍,서울특별시 관악구 봉천동 은천로 93,0,2,,,,Private
대우신림2차푸르지오,서울특별시 관악구 신림동 난곡로 66,0,1,,,,Private
보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62,2,1,,,,Private
봉천건영6차아파트,서울 관악구 봉천동 1701,1,0,,,,Private
서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78,1,1,,,,Private
신동아 아파트,서울시 관악구 신림동 신림로 11길 151,1,0,,,,Private
신림동부센트레빌,서울특별시 관악구 신림동 미성3길 16,2,0,,,,Private
신림서초 아파트,서울특별시 관악구 신림동 호암로16길 5,2,0,,,,Private
신림쌍용 아파트,서울특별시 관악구 신림동 미성길 122,2,1,,,,Private
은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1,1,1,,,,Private
청광 아파트,서울특별시 관악구 신림로3가길 45-24,1,0,,,,Private
