충전소명,충전소위치상세,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
강변테트노마트 주차장,서울특별시 광진구 광나루로 56길 85 지하4층 주차장,1,1,N,37.53576,127.0934,Private
광진구청 주차장,서울특별시 광진구 자양로 117 보건소 앞,0,1,N,37.53837,127.0802,Public
뚝도변전소,서울특별시 광진구 자양3동 510-8,1,3,N,37.53614,127.0672,Public
어린이대공원후문주차장,서울특별시 광진구 능동로 216 어린이대공원 후문주차장,0,2,N,37.55195,127.0852,Public
어린이대공원후문주차장,서울특별시 광진구 능동로 216 후문방향 진입 꿈마루 사무실앞,1,0,N,37.54863,127.0763,Public
자양2동유수지 공영주차장,서울특별시 광진구 뚝섬로 52길 74,0,2,Y,37.52999,127.0779,Public
중곡4동주민센터,서울특별시 광진구 긴고랑로 131 주차장,1,0,N,37.559053,127.087223,Public
중곡3동주민센터,서울특별시 광진구 동일로 76가길 28 주차장,1,0,N,37.561252,127.069992,Public
중곡2동주민센터,서울특별시 광진구 능동로 346 주차장,1,0,N,37.559053,127.087223,Public
중곡1동주민센터,서울특별시 광진구 긴고랑로 12길 49 주차장,1,0,N,37.560511,127.077864,Public
군자동주민센터,서울특별시 광진구 군자로 151 주차장,1,0,N,37.555122,127.073688,Public
화양동주민센터,서울특별시 광진구 능동로 17길 39 지하2층 중앙기둥 뒤,1,0,N,37.546406,127.069138,Public
자양4동주민센터,서울특별시 광진구 뚝섬로 26길 58 주차장,1,0,N,37.534055,127.064042,Public
자양3동주민센터,서울특별시 광진구 뚝섬로 568 주차장,1,0,N,37.533794,127.070701,Public
자양2동주민센터,서울특별시 광진구 자양로 3가길 26 주차장,1,0,N,37.528775,127.082358,Public
자양1동주민센터,서울특별시 광진구 자양로 13길 37 주차장,1,0,N,37.53446,127.080193,Public
구의3동주민센터,서울특별시 광진구 강변역로 17 지하1층 주차장,1,0,N,37.538066,127.089692,Public
구의2동주민센터,서울특별시 광진구 천호대로 136길 55 지하1층주차장,1,0,N,37.547202,127.087722,Public
광장동주민센터,서울특별시 광진구 광장로 52 주차장,1,0,N,37.546804,127.100931,Public
능동주민센터,서울특별시 광진구 천호대로 112길 55 주차장,1,0,N,37.553717,127.078343,Public
도봉기적의도서관,서울특별시 광진구 광나루로56길 85 ,0,2,,,,Public
장로회신학대학교,서울특별시 광진구 광장로5길 25-1 남문 주차장 앞(광장동 353),0,2,,,,Public
건국대학교_서울,서울특별시 광진구 능동로 120 건국대학교 새천년관 주차장,0,3,,,,Public
구의스타주유소,서울특별시 광진구 자양로 103 주유소 출구 부근(자양동 779-7),0,2,,,,Private
군자동일성아파트상가,서울특별시 광진구 군자로12길 46 (군자동 일성파크아파트) 상가동 제101동~102동 ,3,0,,,,Private
구의7단지아파트,"서울특별시 광진구 구의강변로3가길 39(구의동, 구의7단지조합현대아파트) 야외주차장",2,0,,,,Private
광장힐스테이트 아파트,서울특별시 광진구 광장동 아차산로 537-17,2,1,,,,Private
광진하우스토리한강,서울특별시 광진구 자양동 구의강변로1길 44,1,0,,,,Private
더샵스타시티 아파트,서울특별시 광진구 자양동 아차산로 262,4,1,,,,Private
자양10차현대홈타운,서울특별시 광진구 자양동 뚝섬로34길 25-19,2,0,,,,Private
자양금강KCC 아파트,서울특별시 광진구 자양동 아차산로36길 13,2,0,,,,Private
