충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
(주)아주호텔서교,1,0,,,,Private
DMC 산학센터,4,1,,,,Public
DMC 첨단센터,3,1,,,,Public
KPX개발,1,0,,,,Private
SBA 사옥,2,0,,,,Private
YTN뉴스퀘어B4,4,0,,,,Private
공덕1-1공영주차장,0,1,,,,Public
노을공원,0,1,,,,Public
도화동 성지빌딩,2,0,,,,Private
서울시 연남동 주민센터,1,0,,,,Public
서울시 염리동 주민센터,1,0,,,,Public
서울시 용강동 주민센터,1,0,,,,Public
서울시 이마트(마포공덕점),2,0,,,,Private
서울시 합정동 주민센터,1,0,,,,Public
서울시복지재단,1,0,,,,Public
스탠포드호텔코리아,0,1,,,,Private
시설관리공단 마포유수지주차장,0,1,,,,Public
양화진공영주차장,0,1,,,,Public
전기안전공사 서울지역본부,1,0,,,,Public
창천공영주차장,0,1,,,,Public
한국국토정보공사 용산마포지사,3,0,,,,Public
한국지방재정공제회,1,0,,,,Public
홈플러스 월드컵점,0,1,,,,Private
서울시 대흥동 주민센터,1,0,,,,Public
서울시 마포구 CJ EnM CENTER ,1,0,,,,Private
서울시 마포구 CJ헬로 상암본사,1,0,,,,Private
서울시 마포구 보건소,1,0,,,,Public
서울시 마포구 상암한화오벨리스크1차,1,0,,,,Private
서울시 망원2동 주민센터,1,0,,,,Public
서울시 서강동 주민센터,1,0,,,,Public
서울시 신수동 주민센터,1,0,,,,Public
상암월드컵경기장,3,7,,,,Public
서울산업진흥원,2,0,,,,Public
마포공영주차장,0,4,,,,Public
마포용산지사,5,1,,,,Public
마포유수지공영주차장,0,1,,,,Public
마포중앙도서관,0,2,,,,Public
마포 문화비축기지,1,0,,,,Private
동양한강트레벨,1,0,,,,Private
마포공덕파크팰리스2,1,0,,,,Private
삼성래미안3차아파트 309동,14,0,,,,Private
서울시 에스플렉스센터,2,0,,,,Private
오피스텔관리단협의회(DMC이안상암1단지),2,0,,,,Private
e편한세상마포리버파크,3,1,,,,Private
공덕아이파크아파트,2,0,,,,Private
공덕파크자이1단지,2,0,,,,Private
공덕파크자이2단지,1,0,,,,Private
대명 아파트,1,0,,,,Private
래미안마포리버웰,3,1,,,,Private
래미안밤섬리베뉴1 아파트,2,1,,,,Private
래미안밤섬리베뉴2,3,1,,,,Private
롯데캐슬프레지던트,1,0,,,,Private
마포대림1차 아파트,2,0,,,,Private
마포도화우성아파트,1,1,,,,Private
마포래미안푸르지오 1단지,3,1,,,,Private
마포래미안푸르지오 2단지,4,1,,,,Private
마포래미안푸르지오 3단지,3,1,,,,Private
마포래미안푸르지오 4단지,4,1,,,,Private
마포자이2차아파트,0,1,,,,Private
마포중앙도서관,0,2,,,,Public
마포트라팰리스2차,2,0,,,,Private
마포한강푸르지오1차,3,0,,,,Private
메세나폴리스 아파트,3,1,,,,Private
브라운스톤공덕 아파트,2,0,,,,Private
상암월드컵파크3단지,2,1,,,,Private
성지(주상복합) 아파트,2,0,,,,Private
신공덕3삼성래미안,2,0,,,,Private
신촌포스빌,1,1,,,,Private
쌍용황금,0,1,,,,Private
창전삼성 아파트,0,1,,,,Private
한강삼성 아파트,1,1,,,,Private
