충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
북한산국립공원 정릉 주차장(정릉탐방지원센터),0,1,Y,37.618478,126.996915,Public
이마트 미아점,1,2,Y,37.6108648,127.0296051,Private
국민대,0,2,Y,37.6108694,126.9972889,Public
홈플러스 월곡점,0,1,Y,37.6017142,127.0404475,Private
성북벤처빌딩 공영주차장,0,1,Y,37.6093178,127.0530203,Public
고려대학교,0,2,Y,37.58870342,127.0316981,Public
고려대학교(자연과학),1,1,Y,37.58870342,127.0316981,Public
성북구 보건소,1,0,Y,37.6026988,127.0395356,Public
이마트 하월곡점,2,8,Y,37.6050962,127.0309977,Private
서경대학교 1주차장,2,0,Y,37.6153765,127.0135494,Public
서경대학교 2주차장,5,0,Y,37.6153765,127.0135494,Public
성북소방서,1,0,Y,37.6023364,127.0317849,Public
세창주유소,0,2,,,,Private
한국국토정보공사 서울중부지사,4,0,,,,Public
정릉경남아파트,6,0,,,,Private
정릉꿈에그린,3,0,,,,Private
중계중앙하이츠아쿠아,1,0,,,,Private
정릉중앙하이츠아파트,2,0,,,,Private
돈암일신건영휴먼빌아파트,6,1,,,,Private
정릉힐스테이트,2,0,,,,Private
보문하우스토리입주자대표회의,1,0,,,,Private
정릉태영아파트,3,0,,,,Private
래미안길음2차아파트,2,0,,,,Private
종암아이파크아파트,4,0,,,,Private
금호어울림 센터힐 아파트,2,1,,,,Private
길음래미안3차,0,1,,,,Private
꿈의숲대명루첸 아파트,2,1,,,,Private
대림 샹그레빌,2,1,,,,Private
돈암더샵아파트,0,1,,,,Private
돈암현대,2,0,,,,Private
동일하이빌뉴시티 아파트,2,1,,,,Private
브라운스톤돈암아파트,1,1,,,,Private
삼선 SK뷰 아파트,2,1,,,,Private
삼선푸르지오 아파트,3,1,,,,Private
삼선힐스테이트,3,0,,,,Private
석관두산 아파트,0,2,,,,Private
성북동아에코빌아파트,3,1,,,,Private
정릉2차 e편한세상 아파트,3,1,,,,Private
정릉e편한세상 아파트,2,1,,,,Private
정릉풍림아이원,2,1,,,,Private
종암삼성래미안,0,1,,,,Private
한신휴아파트,0,1,,,,Private
