충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
국립 중앙 박물관,0,3,,,,Public
서울시 남영동 주민센터,1,0,,,,Public
서울시 보광동 주민센터,1,0,,,,Public
서울시 서빙고동 주민센터,1,0,,,,Public
서울시 용문동 주민센터,1,0,,,,Public
서울시 용산 오산고등학교,5,0,,,,Private
서울시 용산2가동 주민센터,1,0,,,,Public
서울시 용산구청,1,0,,,,Public
서울시 용산보건소 보건분소,1,0,,,,Public
서울시 원효2동 주민센터,1,0,,,,Public
서울시 이촌1동 주민센터,1,0,,,,Public
서울시 이촌2동 주민센터,1,0,,,,Public
서울시 이태원1동 주민센터,1,0,,,,Public
서울시 이태원2동 주민센터,1,0,,,,Public
서울시 청파동 주민센터,1,0,,,,Public
서울시 한강로동 주민센터,1,0,,,,Public
서울시 효창동 주민센터,1,0,,,,Public
서울시 후암동 주민센터,1,0,,,,Public
신창동 공영주차장,1,0,,,,Public
한국타이어 한남점,0,1,,,,Private
한남동 공영주차장,0,1,,,,Public
해밀튼호텔,1,0,,,,Private
이태원2동공영주차장,0,1,,,,Public
전쟁기념관,0,3,,,,Public
한강진역 공영주차장,2,2,,,,Public
용산아스테리움,7,0,,,,Private
용산역 아이파크몰,11,10,,,,Private
용산전자상가,3,1,,,,Private
용산주차빌딩,3,1,,,,Public
KCC IT 타워,0,1,,,,Private
LG한강자이아파트입주자대표회의,4,1,,,,Private
용산파크자이,5,0,,,,Private
용산파크타워,4,1,,,,Private
한강트럼프월드3차,4,0,,,,Private
한국타이어 한남점,0,1,,,,Public
동아그린 아파트,2,1,,,,Private
래미안첼리투스,2,1,,,,Private
리첸시아 아파트,0,1,,,,Private
리첸시아용산B블록,2,0,,,,Private
용산더프라임,1,1,,,,Private
용산시티파크1단지,0,1,,,,Private
용산아크로타워,2,0,,,,Private
용산이안 아파트,2,0,,,,Private
용산한신 아파트,2,0,,,,Private
이안용산프리미어,2,1,,,,Private
청암자이 아파트,2,1,,,,Private
프라임팰리스,1,0,,,,Private
한강대우,2,1,,,,Private
한남동현대하이페리온,2,0,,,,Private
